,zip,borough
0,10001,Manhattan
1,10002,Manhattan
2,10003,Manhattan
3,10004,Manhattan
4,10005,Manhattan
5,10006,Manhattan
6,10007,Manhattan
7,10009,Manhattan
8,10010,Manhattan
9,10011,Manhattan
10,10012,Manhattan
11,10013,Manhattan
12,10014,Manhattan
13,10015,Manhattan
14,10016,Manhattan
15,10017,Manhattan
16,10018,Manhattan
17,10019,Manhattan
18,10020,Manhattan
19,10021,Manhattan
20,10022,Manhattan
21,10023,Manhattan
22,10024,Manhattan
23,10025,Manhattan
24,10026,Manhattan
25,10027,Manhattan
26,10028,Manhattan
27,10029,Manhattan
28,10030,Manhattan
29,10031,Manhattan
30,10032,Manhattan
31,10033,Manhattan
32,10034,Manhattan
33,10035,Manhattan
34,10036,Manhattan
35,10037,Manhattan
36,10038,Manhattan
37,10039,Manhattan
38,10040,Manhattan
39,10041,Manhattan
40,10044,Manhattan
41,10045,Manhattan
42,10048,Manhattan
43,10055,Manhattan
44,10060,Manhattan
45,10069,Manhattan
46,10090,Manhattan
47,10095,Manhattan
48,10098,Manhattan
49,10099,Manhattan
50,10103,Manhattan
51,10104,Manhattan
52,10105,Manhattan
53,10106,Manhattan
54,10107,Manhattan
55,10110,Manhattan
56,10111,Manhattan
57,10112,Manhattan
58,10115,Manhattan
59,10118,Manhattan
60,10119,Manhattan
61,10120,Manhattan
62,10121,Manhattan
63,10122,Manhattan
64,10123,Manhattan
65,10128,Manhattan
66,10151,Manhattan
67,10152,Manhattan
68,10153,Manhattan
69,10154,Manhattan
70,10155,Manhattan
71,10158,Manhattan
72,10161,Manhattan
73,10162,Manhattan
74,10165,Manhattan
75,10166,Manhattan
76,10167,Manhattan
77,10168,Manhattan
78,10169,Manhattan
79,10170,Manhattan
80,10171,Manhattan
81,10172,Manhattan
82,10173,Manhattan
83,10174,Manhattan
84,10175,Manhattan
85,10176,Manhattan
86,10177,Manhattan
87,10178,Manhattan
88,10199,Manhattan
89,10270,Manhattan
90,10271,Manhattan
91,10278,Manhattan
92,10279,Manhattan
93,10280,Manhattan
94,10281,Manhattan
95,10282,Manhattan
96,10301,Staten
97,10302,Staten
98,10303,Staten
99,10304,Staten
100,10305,Staten
101,10306,Staten
102,10307,Staten
103,10308,Staten
104,10309,Staten
105,10310,Staten
106,10311,Staten
107,10312,Staten
108,10314,Staten
109,10451,Bronx
110,10452,Bronx
111,10453,Bronx
112,10454,Bronx
113,10455,Bronx
114,10456,Bronx
115,10457,Bronx
116,10458,Bronx
117,10459,Bronx
118,10460,Bronx
119,10461,Bronx
120,10462,Bronx
121,10463,Bronx
122,10464,Bronx
123,10465,Bronx
124,10466,Bronx
125,10467,Bronx
126,10468,Bronx
127,10469,Bronx
128,10470,Bronx
129,10471,Bronx
130,10472,Bronx
131,10473,Bronx
132,10474,Bronx
133,10475,Bronx
134,11004,Queens
135,11101,Queens
136,11102,Queens
137,11103,Queens
138,11104,Queens
139,11105,Queens
140,11106,Queens
141,11109,Queens
142,11201,Brooklyn
143,11203,Brooklyn
144,11204,Brooklyn
145,11205,Brooklyn
146,11206,Brooklyn
147,11207,Brooklyn
148,11208,Brooklyn
149,11209,Brooklyn
150,11210,Brooklyn
151,11211,Brooklyn
152,11212,Brooklyn
153,11213,Brooklyn
154,11214,Brooklyn
155,11215,Brooklyn
156,11216,Brooklyn
157,11217,Brooklyn
158,11218,Brooklyn
159,11219,Brooklyn
160,11220,Brooklyn
161,11221,Brooklyn
162,11222,Brooklyn
163,11223,Brooklyn
164,11224,Brooklyn
165,11225,Brooklyn
166,11226,Brooklyn
167,11228,Brooklyn
168,11229,Brooklyn
169,11230,Brooklyn
170,11231,Brooklyn
171,11232,Brooklyn
172,11233,Brooklyn
173,11234,Brooklyn
174,11235,Brooklyn
175,11236,Brooklyn
176,11237,Brooklyn
177,11238,Brooklyn
178,11239,Brooklyn
179,11241,Brooklyn
180,11242,Brooklyn
181,11243,Brooklyn
182,11249,Brooklyn
183,11252,Brooklyn
184,11256,Brooklyn
185,11351,Queens
186,11354,Queens
187,11355,Queens
188,11356,Queens
189,11357,Queens
190,11358,Queens
191,11359,Queens
192,11360,Queens
193,11361,Queens
194,11362,Queens
195,11363,Queens
196,11364,Queens
197,11365,Queens
198,11366,Queens
199,11367,Queens
200,11368,Queens
201,11369,Queens
202,11370,Queens
203,11371,Queens
204,11372,Queens
205,11373,Queens
206,11374,Queens
207,11375,Queens
208,11377,Queens
209,11378,Queens
210,11379,Queens
211,11385,Queens
212,11411,Queens
213,11412,Queens
214,11413,Queens
215,11414,Queens
216,11415,Queens
217,11416,Queens
218,11417,Queens
219,11418,Queens
220,11419,Queens
221,11420,Queens
222,11421,Queens
223,11422,Queens
224,11423,Queens
225,11426,Queens
226,11427,Queens
227,11428,Queens
228,11429,Queens
229,11430,Queens
230,11432,Queens
231,11433,Queens
232,11434,Queens
233,11435,Queens
234,11436,Queens
235,11691,Queens
236,11692,Queens
237,11693,Queens
238,11694,Queens
239,11697,Queens